open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
224.27,225.85,223.31,224.42,6470186.0,225.85,223.31,224.42,224.27,6470186.0,1.0,0.0,JPM,XNYS,2024-10-17T00:00:00+0000
222.33,223.68,221.04,223.64,6382515.0,223.68,221.04,223.64,222.33,6382515.0,1.0,0.0,JPM,XNYS,2024-10-16T00:00:00+0000
223.66,225.45,221.82,222.39,9235825.0,225.45,221.82,222.39,223.66,9235825.0,1.0,0.0,JPM,XNYS,2024-10-15T00:00:00+0000
223.2,223.7,218.88,221.48,9048925.0,223.7,218.88,221.48,223.2,9048925.0,1.0,0.0,JPM,XNYS,2024-10-14T00:00:00+0000
215.67,224.6299,215.16,222.29,18320650.0,224.6299,215.16,222.29,215.67,18320650.0,1.0,0.0,JPM,XNYS,2024-10-11T00:00:00+0000
214.81,214.81,211.47,212.84,7927051.0,214.81,211.47,212.84,214.81,7927051.0,1.0,0.0,JPM,XNYS,2024-10-10T00:00:00+0000
209.7,214.24,209.38,213.42,7023998.0,214.24,209.38,213.42,209.7,7023998.0,1.0,0.0,JPM,XNYS,2024-10-09T00:00:00+0000
210.58,211.33,208.38,210.75,6021772.0,211.33,208.38,210.75,210.58,6021772.0,1.0,0.0,JPM,XNYS,2024-10-08T00:00:00+0000
211.03,213.33,209.69,210.93,6718898.0,213.33,209.69,210.93,211.03,6718898.0,1.0,0.0,JPM,XNYS,2024-10-07T00:00:00+0000
429.84,432.47,427.74,431.2,18281400.0,432.47,427.74,431.2,429.84,18301987.0,1.0,0.0,MSFT,XNAS,2024-12-03T00:00:00+0000
421.57,433.0,421.31,430.98,20189300.0,433.0,421.31,430.98,421.57,20207223.0,1.0,0.0,MSFT,XNAS,2024-12-02T00:00:00+0000
420.09,424.88,417.8,423.46,16271900.0,424.88,417.8,423.46,420.09,16271921.0,1.0,0.0,MSFT,XNAS,2024-11-29T00:00:00+0000
425.105,427.2299,422.02,422.99,18332444.0,427.2299,422.02,422.99,425.105,18332444.0,1.0,0.0,MSFT,XNAS,2024-11-27T00:00:00+0000
419.59,429.04,418.85,427.99,23439600.0,429.0414,418.85,427.99,419.585,23458889.0,1.0,0.0,MSFT,XNAS,2024-11-26T00:00:00+0000
418.38,421.08,414.85,418.79,27651300.0,421.08,414.85,418.79,418.38,27691090.0,1.0,0.0,MSFT,XNAS,2024-11-25T00:00:00+0000
411.37,417.4,411.06,417.0,24802100.0,417.4,411.06,417.0,411.365,24814626.0,1.0,0.0,MSFT,XNAS,2024-11-22T00:00:00+0000
419.5,419.78,410.29,412.87,20745300.0,419.78,410.2887,412.87,419.5,20780162.0,1.0,0.83,MSFT,XNAS,2024-11-21T00:00:00+0000
416.87,417.29,410.58,415.49,19166200.0,417.29,410.58,414.66,416.87,19191655.0,1.0,0.0,MSFT,XNAS,2024-11-20T00:00:00+0000
413.11,417.94,411.55,417.79,18111900.0,417.94,411.55,417.79,413.11,18133529.0,1.0,0.0,MSFT,XNAS,2024-11-19T00:00:00+0000
414.87,418.4037,412.1,415.76,23983845.0,418.4037,412.1,415.76,414.87,24742013.0,1.0,0.0,MSFT,XNAS,2024-11-18T00:00:00+0000
419.82,422.8,413.64,415.0,28196600.0,422.8,413.64,415.0,419.82,28247644.0,1.0,0.0,MSFT,XNAS,2024-11-15T00:00:00+0000
425.0,428.17,420.0,426.89,30213400.0,428.17,420.0,426.89,425.0,30246881.0,1.0,0.0,MSFT,XNAS,2024-11-14T00:00:00+0000
421.64,429.33,418.21,425.2,21477900.0,429.325,418.21,425.2,421.64,21502185.0,1.0,0.0,MSFT,XNAS,2024-11-13T00:00:00+0000
418.25,424.44,417.2,423.03,19382500.0,424.44,417.2,423.03,418.25,19401204.0,1.0,0.0,MSFT,XNAS,2024-11-12T00:00:00+0000
422.52,424.81,416.0,418.01,24473800.0,424.81,416.0,418.01,422.515,24503321.0,1.0,0.0,MSFT,XNAS,2024-11-11T00:00:00+0000
425.32,426.5,421.78,422.54,16875500.0,426.5,421.78,422.54,425.32,16891414.0,1.0,0.0,MSFT,XNAS,2024-11-08T00:00:00+0000
421.12,426.85,419.88,425.43,19615445.0,426.85,419.88,425.43,421.28,19901782.0,1.0,0.0,MSFT,XNAS,2024-11-07T00:00:00+0000
412.43,420.43,410.52,420.18,26429288.0,420.45,410.52,420.18,412.42,26681842.0,1.0,0.0,MSFT,XNAS,2024-11-06T00:00:00+0000
408.33,414.9,408.08,411.46,17429735.0,414.9,408.08,411.46,408.37,17626011.0,1.0,0.0,MSFT,XNAS,2024-11-05T00:00:00+0000
409.855,410.41,405.575,408.46,19284886.0,410.415,405.5713,408.46,409.8,19672286.0,1.0,0.0,MSFT,XNAS,2024-11-04T00:00:00+0000
409.01,415.5,407.5,410.37,24209400.0,415.5,407.5,410.37,409.01,24230442.0,1.0,0.0,MSFT,XNAS,2024-11-01T00:00:00+0000
415.96,416.065,406.3,406.35,53473867.0,416.16,406.3,406.35,415.36,53970981.0,1.0,0.0,MSFT,XNAS,2024-10-31T00:00:00+0000
437.435,438.5,432.1,432.53,29749149.0,438.5,432.1,432.53,437.435,29749149.0,1.0,0.0,MSFT,XNAS,2024-10-30T00:00:00+0000
428.0,433.17,425.8,431.95,17581800.0,433.17,425.8001,431.95,428.0,17644080.0,1.0,0.0,MSFT,XNAS,2024-10-29T00:00:00+0000
431.655,431.94,426.34,426.59,14003953.0,431.94,426.3,426.59,431.655,14882444.0,1.0,0.0,MSFT,XNAS,2024-10-28T00:00:00+0000
426.76,432.52,426.57,428.15,16888400.0,432.52,426.565,428.15,426.76,16899064.0,1.0,0.0,MSFT,XNAS,2024-10-25T00:00:00+0000
